;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
CAPEX;399280000;1251000000;1199040000;0;0;0;0;0;0;0;0;0;0;0;0;
CCC;0.082684932;0.082684932;0.082684932;0.082684932;0.082684932;0.082684932;0.082684932;0.082684932;0.082684932;0.082684932;0.082684932;0.082684932;0.082684932;0.082684932;0.082684932;
COS;0;0;1187426814;1105712951;1047140080;980447279.6;919298178.7;852673986.7;812127920.9;758629545.3;721116439.6;675488507.3;634588341.1;597459104.2;562986896.7;
CostofSales;39928000;165028000;1472358814;1390644951;1332072080;1265379280;1204230179;1137605987;1097059921;1043561545;966120439.6;795392507.3;634588341.1;597459104.2;562986896.7;
DWC;0;0;142159530.1;-18411998.12;-9434988.888;3595954.902;173139.7611;11269027.73;6484200.46;7202340.138;-15877000.03;-12776471.01;-9816375.61;-10964345.35;-10584919.31;-83018094.75
Depreciation;39928000;165028000;284932000;284932000;284932000;284932000;284932000;284932000;284932000;284932000;245004000;119904000;0;0;0;
GM;-39928000;-165028000;249784993.9;102006886.1;50436556.12;154021894.8;232032531.7;428140170.1;552029329;690721264;574074040.4;588803532.7;633278436.5;535281448.8;442850661;
NCF;-389247600;-1209561350;-1005321889;262342127.2;223446737.6;284609972;344945765.7;472047338.3;561296166.5;659096778;569192347.8;465384572.6;384026023.1;322427819.9;263043881;83018094.75
NI;-29895600;-123589350;50945640.79;-41001870.91;-70920251.25;3273926.875;60186905.45;198384366.1;282848366.9;381367118.1;308311347.8;332704101.6;374209647.5;311463474.5;252458961.7;
NPV;-389247600;-1099601227;-830844536.6;197101523.1;152617128.4;176720400.4;194712892;242234923.9;261848804.1;279521373.8;219448290.1;163114453.6;122362525.8;93395854.45;69267675.13;19873871.84
OM;-39928000;-165028000;68495718.69;-55018683.02;-93925350.78;4788010.88;81529903.2;264445579.1;378413760.8;508496854.9;412615574;444140170;499969870.2;416182121.8;337504304.3;
PercentageGlassLoss;0;0;0.147239974;0.175237766;0.079574636;0.079574636;0.079574636;0.079574636;0.079574636;0.079574636;0.079574636;0.079574636;0.079574636;0.079574636;0.079574636;
RD;0.06504;0.06504;0.06504;0.06504;0.06504;0.06504;0.06504;0.06504;0.06504;0.06504;0.06504;0.06504;0.06504;0.06504;0.06504;
SALES;0;0;1722143808;1492651837;1382508636;1419401174;1436262710;1565746157;1649089250;1734282809;1540194480;1384196040;1267866778;1132740553;1005837558;
SG&A;0.0401;0.0401;0.0401;0.0401;0.0401;0.0401;0.0401;0.0401;0.0401;0.0401;0.0401;0.0401;0.0401;0.0401;0.0401;
SubstrateCost;0;0;1649.203908;1535.712432;1454.361223;1361.732333;1276.803026;1184.269426;1127.955446;1053.652146;1001.550611;938.1784824;881.372696;829.8043114;781.9262454;
TAX;0.2512;0.2512;0.2512;0.2512;0.2512;0.2512;0.2512;0.2512;0.2512;0.2512;0.2512;0.2512;0.2512;0.2512;0.2512;
WC;0;0;142159530.1;123747532;114312543.1;117908498;118081637.7;129350665.5;135834865.9;143037206.1;127160206;114383735;104567359.4;93603014.06;83018094.75;
