,1.85,1.8,1.75,1.7,1.65,1.6,1.55,1.5,1.45,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,1
1.55,-149479501.5,-177989965.6,-5856263.453,-419306169.4,-247172467.3,-75038765.15,-1186655645,-1022434653,-973253226,-803903959.4,-631770257.2,-581444676.7,-726684878.7,-554551176.6,-1165781276,-993647574,-1089111357,-955635861.2
1.5,-272302275,-306365439.1,-141543816.1,-819199596.9,-663708688.3,-966017302.4,-1022434653,-1058126699,-894471264.8,-749618443.6,-583037441.5,-822526716.1,-1342615833,-1186883548,-1038069175,-871488172.5,-972504655.9,-965413028
1.45,-258580880.1,-679628833,-583769710.2,-835373060.6,-1009091782,-906908071.5,-973253226,-894471264.8,-1598645350,-1472114635,-1338766016,-1192057966,-1302352926,-1241239928,-1177954558,-1016926256,-855897954.4,-972932878.3
1.4,-61230760.57,-544900809.8,-389425207.8,-649030158.5,-825852679.8,-729221669.3,-803903959.4,-749618443.6,-1472114635,-1343824914,-1202175763,-1060526611,-1204753399,-1205718059,-1050242457,-894766854.9,-739291253,-861878876.9
1.35,144219142,-345003607.3,-195080705.5,-460238356.1,-642613577.6,-551535267.1,-631770257.2,-583037441.5,-1338766016,-1202175763,-1065585509,-916525570.4,-1222376159,-1072453257,-922530355.2,-772607453.4,-622684551.5,-838936572
1.3,62372398.03,-476046516.8,-331676315,-603744677.1,-459374475.3,-495656986.4,-581444676.7,-822526716.1,-1192057966,-1060526611,-916525570.4,-1306408785,-1162038583,-1017668381,-873298179.6,-728927977.8,-704992917.9,-775306966
1.25,182458389,-361513225.9,-222695724.2,-595485086.8,-456788085.9,-317970584.2,-726684878.7,-1342615833,-1302352926,-1204753399,-1222376159,-1162038583,-1080130356,-941312854.1,-866021219.9,-727203718.2,-588386216.5,-664252964.6
1.2,307802599.8,-241721715.2,-108456913.5,-406693284.4,-273548983.7,-140284182,-554551176.6,-1186883548,-1241239928,-1205718059,-1072453257,-1017668381,-941312854.1,-871573920,-738309118.3,-605044316.7,-471779515.1,-598377660.5
1.15,443343740.2,-190208221.4,-62496119.79,-432690091.7,-413903473.2,-337846077.8,-1165781276,-1038069175,-1177954558,-1050242457,-922530355.2,-873298179.6,-866021219.9,-738309118.3,-777856871.3,-650144769.7,-522432668.1,-582847984.9
1.1,648793642.7,9688981.103,131848382.6,-243898289.4,-230664370.9,-160159675.6,-993647574,-871488172.5,-1016926256,-894766854.9,-772607453.4,-728927977.8,-727203718.2,-605044316.7,-650144769.7,-892279633.2,-770120231.7,-909298336.1
1.05,-15946000.97,100660700.5,217267401.9,-164031970.1,-47425268.69,17526726.61,-1089111357,-972504655.9,-855897954.4,-739291253,-622684551.5,-704992917.9,-588386216.5,-471779515.1,-522432668.1,-770120231.7,-1799099703,-1689233663
1,41835563.09,152889564.5,263943565.8,-391097330.1,-280043328.8,-168989327.4,-955635861.2,-965413028,-972932878.3,-861878876.9,-838936572,-775306966,-664252964.6,-598377660.5,-582847984.9,-909298336.1,-1689233663,-1621408530
