,1.85,1.84,1.83,1.82,1.81
1.55,-170223405.5511401,-135749253.5775455,-362433058.01343834,-426838262.1191005,-483256874.30984396
1.5,-557858420.3716551,-524496337.816566,-628278905.3024175,-717746784.9303851,-703105281.2979659
1.45,-404780879.25113213,-372530866.114549,-531959661.35759735,-622251896.1955893,-625466608.9248769
1.4,-477199608.2142151,-446061664.4961317,-624482655.6931665,-595262635.9483423,-564124692.2302331
1.35,-394296727.9741802,-364270853.6745988,-556563699.8386399,-710782768.8136315,-680756894.5140415
1.3,-418247396.07023335,-389333591.1891741,-582738506.7717149,-717161477.135876,-690686092.9755895
1.25,-317825156.25223786,-290023420.7896618,-484540405.79070795,-595376506.4852303,-583246934.792968
1.2,-279782174.84890646,-253092508.8048277,-458818983.7185124,-432129317.6744153,-411897313.3910588
1.15,-126133116.89464967,-100555520.26908205,-323954395.8501735,-298376799.2245929,-272799202.59901327
1.1,-128149490.84408997,-103683963.63702102,-333245276.8512096,-401898284.25091094,-414697334.63981533
1.05,-364526868.7595743,-341173410.971012,-317819953.1824455,-294466495.39387435,-271113037.6053067
