,1.85,1.84,1.83,1.82,1.81,1.8
1.15,443343740.1974091,468886160.51227564,-266835482.30533317,-241293061.99046692,-215750641.6755994,-190208221.3607331
1.14,484433720.7039339,509754033.0160625,-226189717.8042849,-200869405.4921555,-175549093.18002683,-150228780.86789843
1.13,525523701.21045864,550621905.5198494,-185543953.30323568,-160445748.99384493,-135347544.68445355,-110249340.37506317
1.1199999999999999,566613681.7169833,591489778.0236361,-144898188.80218694,-120022092.49553388,-95145996.18888061,-70269899.8822286
1.1099999999999999,607703662.223509,632357650.5274233,-104252424.3011382,-79598435.99722323,-54944447.69330767,-30290459.389393
1.0999999999999999,648793642.7300336,673225523.0312101,-63606659.8000893,-39174779.49891189,-14742899.19773537,9688981.103441652
1.0899999999999999,689883623.2365586,714093395.5349971,-22960895.29904042,1248876.9993991219,25458649.297837954,49668421.59627715
1.0799999999999998,730973603.7430831,754961268.0387838,17684869.202009078,41672533.497709885,65660197.79341058,89647862.0891121
1.0699999999999998,684755226.8595427,708520783.1525056,-50594849.39797306,-26829293.105010018,-3063736.8120472617,20701819.480915915
1.0599999999999998,-57035981.477374494,-33492533.187148735,-9949084.896924023,13594363.393300574,37137811.68352567,60681259.973751314
1.0499999999999998,-15946000.970849127,7375339.316637587,30696679.60412484,54018019.89161168,77339360.17909917,100660700.4665857
