,1.85,1.84,1.83,1.82,1.81,1.8
1.55,3934115812.8965335,3967599741.936341,3825864505.2660856,3250411877.967495,3405048170.513996,3435293599.3584323
1.5,2814068452.961423,2849068661.0148435,2793086255.7640862,2368548412.4236355,2050461345.2431288,2083552300.341457
1.45,2999324462.0061345,3033157996.457772,3027559938.2634187,2877969687.185664,2519844561.8228564,2554417004.170284
1.4,2637670842.41226,2670024039.33227,2386872849.0053205,2684818111.039171,2714774279.1838293,2748154568.3468633
1.35,2404285231.578406,2435482957.1798434,2372317175.337256,1714051653.007481,1742815667.9677436,1775003803.946386
1.3,2616777817.9686055,2646820072.2514753,2576909705.725531,1308512950.3982804,1303854385.1990857,1335357515.3482463
1.25,2818717022.522316,2847603805.4866104,2777374902.2171693,1507785993.7055278,1507149762.0352316,1537441233.3325033
1.2,2078484794.4009109,2106484960.8436446,2331525225.836406,2360136902.2618656,2357116634.209296,2385728310.6347537
1.15,2291217531.363745,2318051024.204701,2517945686.5686483,2545365209.8097124,2569360612.0323977,2596780135.273463
1.1,2338312785.0182347,2363979604.2574077,2554121242.8010273,1502566290.2846553,1013244176.1791538,1034138721.4054757
1.05,1381731475.5145752,1405812598.393564,1429893721.2725523,1453974844.1515415,1471687732.3468707,1491347617.5269184
1.0,1169959923.7256064,1193802987.4134896,1213617809.2373521,1237460872.9252317,1254455694.576358,1278298758.2642403
