,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6
1.55,1866616105.9415057,1075882570.0048418,967463057.6739072,620616479.5721719,779140867.697535,899757149.0200001
1.5,398329824.23101366,296821537.74321795,438765847.43327755,228941112.20580176,362448611.953011,95064525.73978171
1.45,601646183.3150581,173881127.99698454,44499267.56852348,152356784.29039884,-217575938.82882044,-273693379.208946
1.4,715539332.7320821,77613448.96234062,443285749.16720206,331113457.35337436,-45271299.10661572,-73294497.57892594
1.35,1194550109.4277267,488414268.4394456,640723020.9832708,308401057.1975225,142964349.17204878,111148307.36356522
1.3,1027903762.1146133,286027331.84134656,431353700.5772647,181698759.81589097,325569427.921588,372986519.4424736
1.25,881058435.712367,209784654.09191853,356162996.7784052,282431571.48118705,403080877.95603377,548425381.200101
1.2,1269177785.8947272,439625652.87138706,574000598.6366143,455272685.5224283,585538290.7734648,728751116.6959176
1.15,1295119154.2071142,532601656.28226227,660516965.779807,254789004.04971704,283652989.1704199,413403566.16432095
1.1,1491563597.094551,728134398.902898,852237826.90157,444749883.65354294,464979264.0394578,584394031.8656123
1.05,811119590.0791665,932335162.2710428,1038887102.347548,528357874.2843696,650246452.4326088,751616299.7356461
1.0,142603080.67746922,235811178.33229357,349774061.0531063,457894282.4118434,564341498.5547495,384828996.5814392
